"","Квартира № 55","","","","","","","","лист 1"
"","","","","","Площади","","","",""
"Этаж","№№","Характеристики комнат и","без","в т.ч.","","","летних","","Высота"
"","комн.","помещений","летних","основная","вспом.","лодж.","балк.","проч.",""
"","","","","(жилая)","","","","",""
"10","1","жилая изолированная","18.3","18.3","","","","","252"
"10","1 а","лоджия","","","","3.9","","","252"
"10","2","жилая изолированная","11.1","11.1","","","","","252"
"10","3","жилая изолированная","13.3","13.3","","","","","252"
"10","4","кухня","8.3","","8.3","","","","252"
"10","5","уборная","1.2","","1.2","","","","252"
"10","6","ванная","2.4","","2.4","","","","252"
"10","7","коридор","7.0","","7.0","","","","252"
"10","7 а","шкаф встроенный","0.6","","0.6","","","","252"
"","","Итого по квартире","62.2","42.7","19.5","3.9","0.0","0.0",""
